%time,field
1673961811885381714,-0.000733685026217
1673961811907148298,-0.00099862684124
1673961811925340634,-0.0013043289355
1673961811945164926,-0.00165079130899
1673961811965743321,-0.00203801396171
1673961811985819906,-0.00245376881048
1673961812005305614,-0.00288582777209
1673961812025461730,-0.00333419084654
1673961812045232562,-0.00379885803384
1673961812066281594,-0.00427982933398
1673961812085978164,-0.00477710474697
1673961812105470859,-0.0052906842728
1673961812125664946,-0.00582056791147
1673961812145935401,-0.00636675566299
1673961812165739493,-0.00692924752735
1673961812188403704,-0.00749853277087
1673961812220009526,-0.00806510065987
1673961812225728713,-0.00862895119433
1673961812245588970,-0.00919008437427
1673961812272815741,-0.00974850019969
1673961812285475203,-0.0103041986706
1673961812311511133,-0.0108571797869
1673961812325573514,-0.0114074435488
1673961812345308722,-0.0119549899561
1673961812370600227,-0.0124998190089
1673961812385515934,-0.0130351373311
1673961812405652251,-0.0135541515468
1673961812425294031,-0.0140568616561
1673961812445784897,-0.0145432676588
1673961812467775926,-0.015013369555
1673961812485541489,-0.0154671673447
1673961812511960253,-0.0159046610278
1673961812525879511,-0.0163258506045
1673961812545945277,-0.0167307360746
1673961812565149391,-0.0171193174382
1673961812585143951,-0.0174875186617
1673961812608460082,-0.0178312637112
1673961812626080908,-0.0181505525868
1673961812645491956,-0.0184453852886
1673961812665134046,-0.0187157618165
1673961812685205202,-0.0189616821705
1673961812705713820,-0.0191831463506
1673961812725615563,-0.0193801543568
1673961812745595196,-0.0197008018476
1673961812766196021,-0.0198300670322
1673961812794894070,-0.0199461274429
1673961812805522454,-0.0200489830797
1673961812825340904,-0.0201386339426
1673961812845502583,-0.0202150800317
1673961812869881474,-0.0202783213468
1673961812892695252,-0.0203283578881
1673961812905146397,-0.0203651896555
1673961812925250702,-0.020388816649
1673961812945993243,-0.0203992388686
1673961812965094774,-0.0203978010749
1673961812985228473,-0.0203858480284
1673961813005554370,-0.0203633797291
1673961813025176682,-0.020330396177
1673961813045768567,-0.0202868973721
1673961813065371453,-0.0202328833144
1673961813085951472,-0.020168354004
1673961813105342885,-0.0200933094407
1673961813125095287,-0.0200077496247
1673961813145307910,-0.0199116745558
1673961813165561364,-0.0198063548162
1673961813185313248,-0.0196930609878
1673961813205468857,-0.0195717930705
1673961813225708402,-0.0194425510645
1673961813245421172,-0.0193053349697
1673961813265169754,-0.0191601447861
1673961813285748471,-0.0190069805136
1673961813306749810,-0.0186767297024
1673961813325477283,-0.0194424853573
1673961813345253885,-0.0220859513108
1673961813369029122,-0.0266071275628
1673961813386950362,-0.0330060141135
1673961813405297378,-0.0412826109627
1673961813425130742,-0.0514369181106
1673961813445174850,-0.063468935557
1673961813465273407,-0.077378663302
1673961813485355802,-0.0931661013456
1673961813505165761,-0.110831249688
1673961813525256756,-0.1297119269
1673961813545466907,-0.149145951552
1673961813565594812,-0.169133323645
1673961813592453930,-0.189674043179
1673961813611907297,-0.210768110153
1673961813625378900,-0.232415524568
1673961813645799091,-0.254616286423
1673961813665153711,-0.277370395719
1673961813685271019,-0.300677852456
1673961813706126883,-0.324538656633
1673961813725248881,-0.348157632632
1673961813745897239,-0.370739604834
1673961813765141178,-0.39228457324
1673961813787282547,-0.41279253785
1673961813805423021,-0.432263498663
1673961813825151947,-0.450697455679
1673961813845122529,-0.484454358321
1673961813866926304,-0.499575997655
1673961813888103530,-0.513258020607
1673961813906102124,-0.525500427178
1673961813925405033,-0.536303217367
1673961813945165687,-0.545666391174
1673961813965179384,-0.5535899486
1673961813985887401,-0.560073889644
1673961814006691045,-0.565118214306
1673961814025308346,-0.568722922587
1673961814045370971,-0.570888014486
1673961814065554596,-0.57156532101
1673961814085255520,-0.570706673166
1673961814105632304,-0.568312070953
1673961814125534161,-0.564381514372
1673961814145123198,-0.558915003423
1673961814168398498,-0.551912538105
1673961814185442328,-0.543374118419
1673961814206194749,-0.533299744365
1673961814228390375,-0.521689415943
1673961814245837529,-0.508543133152
1673961814265363886,-0.494136312827
1673961814286113581,-0.478744371802
1673961814306140468,-0.462367310077
1673961814325580636,-0.445005127652
1673961814345814473,-0.426657824527
1673961814378774629,-0.407325400702
1673961814391250929,-0.365705190953
1673961814405569001,-0.344183116494
1673961814425514601,-0.323207344268
1673961814445281532,-0.302777874274
1673961814465699489,-0.282894706512
1673961814485929228,-0.263557840983
1673961814506446561,-0.244767277686
1673961814525205436,-0.226523016621
1673961814545335243,-0.208825057789
1673961814565944464,-0.191673401189
1673961814585341596,-0.175068046821
1673961814607587046,-0.158980421814
1673961814625322505,-0.143381953297
1673961814647318659,-0.128272641269
1673961814666520236,-0.11365248573
1673961814685464459,-0.0995214866812
1673961814706489870,-0.0858796441217
1673961814725475464,-0.0727269580516
1673961814745369403,-0.0600634284711
1673961814765211324,-0.0478890553799
1673961814785561105,-0.0362038387783
1673961814807987089,-0.0249769338796
1673961814825289375,-0.0141774958976
1673961814845255569,-0.00380552483202
1673961814872042577,0.00613897931696
1673961814885728544,0.0247455868652
1673961814906579848,0.0333481622654
1673961814925236687,0.0414042147505
1673961814945544356,0.0489137443207
1673961814967127210,0.055876750976
1673961814985568326,0.0622932347163
1673961815005717212,0.0681631955416
1673961815025990777,0.073486633452
1673961815045309899,0.0782635484474
1673961815065338866,0.0824939405279
1673961815086224507,0.0861778096934
1673961815105473175,0.0894082772186
1673961815125636018,0.0922784643783
1673961815145201182,0.0947883711725
1673961815165279858,0.0969379976011
1673961815186176050,0.0987273436641
1673961815207841691,0.100156409362
1673961815225779599,0.101225194693
1673961815245148843,0.10193369966
1673961815265227772,0.102281924261
1673961815285755437,0.102269868496
1673961815305247841,0.10197514098
1673961815325200486,0.101475350329
1673961815349108403,0.100770496542
1673961815368607673,0.0998605796183
1673961815385305325,0.0987455995592
1673961815406980519,0.0974255563641
1673961815426787998,0.0959004500331
1673961815445323310,0.0922350479634
1673961815465405287,0.0902183420548
1673961815489286531,0.0882437526707
1673961815510326919,0.0863112798109
1673961815525139890,0.0844209234756
1673961815545435522,0.0825726836647
1673961815565247804,0.0807665603782
1673961815585622273,0.0790025536162
1673961815606288953,0.0772806633785
1673961815625311531,0.0756008896653
1673961815645155721,0.0739632324764
1673961815666610506,0.0723624182662
1673961815685768532,0.0707931734887
1673961815712821077,0.069255498144
1673961815725568245,0.0677493922321
1673961815746459604,0.0662748557529
1673961815766049868,0.0648318887065
1673961815786405208,0.0634204910929
1673961815806520836,0.062040662912
1673961815825502433,0.0606924041639
1673961815845243503,0.0593757148486
1673961815877699955,0.0580862928669
1673961815885276112,0.05681983612
1673961815906541760,0.0555763446077
1673961815926766586,0.0543558183301
1673961815946524418,0.0519836614789
1673961815965304134,0.0505831446616
1673961815989183089,0.0487078205917
1673961816005272577,0.0463576892691
1673961816025160190,0.0435327506938
1673961816045620717,0.0402330048659
1673961816065238453,0.0364584517853
1673961816085341894,0.0322090914521
